INDEX,S1,S2,S3,S4
50268,0,6,7,-11
50269,-2,-10,-11,3
50270,5,-9,-14,6
50271,6,-11,8,7
50272,-6,11,13,0
50273,5,-7,2,-4
50274,5,3,-4,-9
50275,2,-14,-5,12
50276,-7,-9,15,13
50277,9,-4,-2,13
50278,-3,1,-14,9
50279,-15,-12,-12,-6
50280,9,13,0,-5
50281,12,-6,13,-9
50282,-9,-15,-6,3
50283,-2,8,-13,12
50284,13,-3,-3,15
50285,0,2,-2,-9
50286,-1,-11,-9,-15
50287,-11,-12,2,10
50288,-14,14,2,2
50289,-7,1,10,13
50290,5,4,-11,-15
50291,5,-15,9,15
50292,10,9,0,-7
50293,12,-13,-1,5
50294,3,-11,-15,2
50295,-10,-3,-6,10
50296,-3,-11,12,1
50297,10,-5,2,11
50298,-10,11,3,-2
50299,5,-1,-9,11
50300,-12,-12,4,-1
50301,4,6,15,-3
50302,-11,3,12,-4
50303,7,0,2,1
50304,-15,0,2,-15
50305,8,-1,2,2
50306,10,9,-8,12
50307,15,3,11,9
50308,4,5,13,11
50309,-2,1,-13,-13
50310,3,-13,13,12
50311,-3,-2,5,-7
50312,-3,0,4,7
50313,12,13,-15,-8
50314,-4,-2,6,-5
50315,-11,5,13,4
50316,6,9,12,-7
50317,9,-5,-15,-8
50318,14,-12,-7,10
50319,14,5,-15,-15
50320,-11,-8,14,5
50321,-13,2,0,-13
50322,15,7,-2,7
50323,-4,-15,7,-6
50324,4,9,11,-11
50325,9,8,-15,-11
50326,8,6,-2,1
50327,-4,13,-8,-1
50328,-11,8,-15,-10
50329,7,-5,-10,5
50330,1,4,-2,1
50331,2,-7,9,-13
50332,3,-7,-5,13
50333,-5,-1,12,12
50334,2,-3,3,-4
50335,-11,4,-1,6
50336,-1,4,-8,15
50337,2,2,11,14
50338,-11,-15,13,-11
50339,14,-1,1,8
50340,-3,-9,11,3
50341,-8,-14,13,-8
50342,13,15,-5,-10
50343,-1,-3,15,-3
50344,-8,2,0,3
50345,1,8,-1,13
50346,1,-9,2,-11
50347,12,1,-2,1
50348,-15,-3,1,-9
50349,13,-9,-12,-13
50350,12,-11,5,8
50351,14,-8,7,-1
50352,-3,3,10,11
50353,-7,-3,9,-2
50354,5,12,-4,5
50355,-15,12,-1,2
50356,7,10,-10,5
50357,5,-1,6,11
50358,10,5,-2,4
50359,-3,-11,-14,15
50360,-5,15,-7,13
50361,-13,14,1,-10
50362,1,15,7,11
50363,2,10,14,3
50364,6,10,-15,-13
50365,-7,7,13,3
50366,11,0,14,-12
50367,-11,-9,-1,4
50368,-15,4,-5,15
50369,-12,12,8,10
50370,4,12,-8,-5
50371,1,-15,-4,-15
50372,12,5,10,0
50373,9,-15,15,-9
50374,-10,2,2,7
50375,-9,0,6,-7
50376,-6,0,10,14
50377,9,-12,-9,-10
50378,-9,0,9,-14
50379,-3,-2,-5,4
50380,-1,2,-13,0
50381,-13,3,13,-6
50382,0,-15,-1,-3
50383,1,-4,-1,-7
50384,12,-13,-4,12
50385,12,-6,-7,-14
50386,2,-15,-7,13
50387,-8,4,-5,-8
50388,7,-15,14,-3
50389,13,-7,11,14
50390,10,3,7,-13
50391,-11,-12,2,5
50392,-8,-9,3,-4
50393,-11,6,-1,8
50394,-5,-15,-1,9
50395,-7,4,-2,-7
50396,9,3,1,-15
50397,-1,3,-7,5
50398,-11,-12,3,8
50399,-14,13,-1,-8
50400,-5,-15,-2,10
50401,-11,-7,-10,13
50402,10,4,11,2
50403,-7,-8,12,5
50404,9,9,0,9
50405,0,-12,-4,14
50406,-11,12,-13,-9
50407,10,5,8,5
50408,-5,-7,-5,4
50409,8,-6,-8,5
50410,11,-6,-15,3
50411,13,-9,-12,-3
50412,8,-14,-5,13
50413,12,-7,3,13
50414,5,-7,1,12
50415,-9,13,-5,13
50416,-14,-13,4,-2
50417,15,-2,7,-1
50418,12,11,3,9
50419,13,-8,-2,-15
50420,9,-5,-3,1
50421,12,-6,3,3
50422,6,-8,2,-8
50423,-12,-4,15,-2
50424,9,-10,-6,6
50425,13,3,-5,-3
50426,-4,7,3,1
50427,-7,-7,-5,13
50428,8,12,4,-15
50429,13,2,2,-2
50430,-7,6,13,-10
50431,7,10,13,-11
50432,-3,14,-5,-8
50433,-12,-7,9,-2
50434,14,-7,6,-8
50435,10,6,4,-15
50436,-3,-3,-11,-8
50437,-13,9,4,-5
50438,-2,-12,10,7
50439,10,-11,-13,3
50440,9,2,-2,-5
50441,11,-11,-8,-11
50442,-5,-2,-2,13
50443,-8,12,7,14
50444,-3,-14,13,3
50445,5,12,-12,-14
50446,4,-3,-10,-5
50447,6,-2,-11,14
50448,1,12,-2,-12
50449,-3,-4,-9,-10
50450,-12,-4,-11,-15
50451,-1,-15,11,-11
50452,7,-6,-9,9
50453,3,-9,5,4
50454,-4,14,-12,-1
50455,4,0,-1,-15
50456,-11,7,10,7
50457,15,-3,-4,-10
50458,5,1,-15,-15
50459,3,4,13,4
50460,15,-13,1,15
50461,-4,10,-6,-3
50462,7,3,6,-1
50463,-1,4,14,4
50464,-13,4,12,-5
50465,-13,-7,6,-4
50466,6,13,15,7
50467,-10,-12,-12,-5
50468,4,-12,13,3
50469,1,3,11,7
50470,6,-5,-2,-12
50471,4,-10,4,-14
50472,13,-8,5,8
50473,11,-15,-15,10
50474,-5,-12,-9,-14
50475,-6,2,7,6
50476,-11,-2,11,-7
50477,-15,-15,-11,-11
50478,-1,0,-1,4
50479,-14,-3,-7,3
50480,0,-1,-8,-9
50481,7,-13,-12,11
50482,11,7,4,9
50483,2,1,10,4
50484,4,-1,4,-14
50485,8,-2,5,8
50486,11,2,12,-8
50487,2,-7,-4,14
50488,-12,3,5,0
50489,-15,-5,9,-7
50490,6,9,-14,-11
50491,-3,-12,-1,2
50492,10,15,-15,-6
50493,-8,-7,12,-6
50494,14,3,-5,-11
50495,-11,12,-10,-3
50496,1,14,7,-5
50497,-13,10,3,8
50498,-4,13,-10,-2
50499,15,7,8,9
50500,-6,12,-5,12
50501,-3,8,-3,-2
50502,11,-4,-15,-8
50503,-15,-10,14,-15
50504,0,-13,12,-11
50505,4,4,0,1
50506,-3,-8,-11,-14
50507,-2,-13,-7,10
50508,0,6,-9,-7
50509,11,-12,5,-8
50510,15,-9,-2,15
50511,-14,-8,-8,-14
50512,-10,11,-11,13
50513,10,4,-14,-10
50514,7,6,11,3
50515,6,10,-14,10
50516,-5,-2,-5,-14
50517,-15,4,0,0
50518,4,-5,-10,10
50519,4,8,-15,-14
50520,-15,-10,-1,1
50521,10,-13,14,-7
50522,-13,-2,-3,0
50523,11,9,-14,-4
50524,3,-7,4,5
50525,-13,10,3,-12
50526,6,-8,-5,15
50527,-3,0,8,0
50528,-6,7,-14,-12
50529,-5,1,-8,8
50530,-5,-10,-15,-10
50531,7,-4,-4,-8
50532,-15,6,-13,11
50533,0,-7,-15,-2
50534,-3,-10,6,-8
50535,12,4,5,-6
50536,1,-14,15,4
50537,6,-9,-2,13
50538,-6,3,5,-4
50539,6,10,3,3
50540,-3,9,-9,-3
50541,-4,-7,-8,-14
50542,7,-5,-14,14
50543,-3,15,-6,-14
50544,-9,-1,0,-10
50545,2,-15,-7,1
50546,3,4,4,7
50547,-7,-6,15,11
50548,-5,-7,6,6
50549,-5,13,-2,11
50550,-7,5,10,-15
50551,4,11,14,11
50552,-5,-10,12,-13
50553,4,-9,-14,14
50554,13,5,9,-9
50555,-10,7,-12,-2
50556,-10,3,-14,-6
50557,3,11,-8,4
50558,15,13,9,3
50559,3,-11,-11,8
50560,-7,12,-10,15
50561,9,-12,-1,7
50562,0,-15,-6,4
50563,-12,7,7,2
50564,15,7,4,9
50565,1,-2,7,-5
50566,-9,15,6,-5
50567,-7,-1,10,-13
50568,15,0,-9,-7
50569,-2,1,-13,-6
50570,-14,1,2,-6
50571,-5,2,-14,3
50572,11,-10,-3,9
50573,-6,4,15,7
50574,5,10,-12,-10
50575,5,1,-11,-5
50576,-11,2,13,10
50577,6,15,10,3
50578,10,14,-6,-1
50579,-10,13,11,-12
50580,14,-7,8,1
50581,5,-11,7,-6
50582,11,7,14,-4
50583,2,-15,6,-5
50584,13,-11,14,-3
50585,-3,-7,-13,-10
50586,10,-10,-8,-9
50587,-12,3,5,6
50588,8,13,-3,3
50589,13,-1,3,-2
50590,-13,-14,11,13
50591,-5,-12,8,-10
50592,-7,3,12,-3
50593,-7,11,-14,-13
50594,12,0,13,-15
50595,7,15,3,8
50596,7,0,-3,10
50597,3,-2,-15,11
50598,9,-15,3,2
50599,-9,-7,0,15
50600,-2,9,3,2
50601,-6,-3,-4,13
50602,4,11,5,-10
50603,8,12,12,-5
50604,14,-8,4,-10
50605,-11,7,-6,5
50606,13,7,13,3
50607,5,-3,12,-3
50608,13,-8,7,0
50609,-6,-4,-10,14
50610,-2,-2,-5,-9
50611,-4,-11,11,14
50612,-15,5,1,14
50613,-7,-13,13,0
50614,-10,-11,10,6
50615,5,0,-1,3
50616,-12,-12,9,-8
50617,-9,14,-7,-11
50618,-7,-12,-1,-9
50619,0,8,12,-15
50620,2,-6,15,-14
50621,-14,-8,-14,8
50622,7,-3,-12,4
50623,-6,12,14,12
50624,-3,-15,-1,5
50625,-4,-4,-4,13
50626,-15,11,-7,-12
50627,12,-15,12,4
50628,-6,-6,-1,12
50629,-9,-3,-2,-6
50630,8,5,-4,-6
50631,9,-9,-11,11
50632,-7,9,-8,13
50633,11,-10,11,-5
50634,8,10,15,-13
50635,-14,7,-11,6
50636,-10,10,7,-12
50637,3,-11,8,-1
50638,6,-12,-8,7
50639,4,15,-7,-6
50640,-12,14,-6,14
50641,-3,11,-6,4
50642,11,-9,10,1
50643,-1,-8,-4,-12
50644,14,15,14,3
50645,9,3,-14,-5
50646,-15,-2,-11,-9
50647,9,9,-14,2
50648,-6,-6,-10,-1
50649,-6,-13,-14,5
50650,-3,-6,-4,-4
50651,-4,-6,-11,-11
50652,13,12,0,-9
50653,0,6,-13,6
50654,5,-8,2,14
50655,1,9,3,-12
50656,4,-14,-3,-11
50657,9,1,-10,2
50658,-15,-4,3,6
50659,-3,-8,12,6
50660,-10,4,3,1
50661,14,-8,-11,9
50662,7,8,12,-4
50663,-8,-8,-5,-1
50664,8,4,-5,1
50665,0,3,-11,-7
50666,0,4,-15,7
50667,-2,-2,-11,-4
50668,-4,9,-2,11
50669,15,8,-7,-14
50670,-6,-2,9,-8
50671,11,-1,3,5
50672,10,-15,-12,-14
50673,7,-3,0,-8
50674,6,-1,6,-3
50675,-4,1,2,-1
50676,1,0,6,-12
50677,15,-15,-6,10
50678,12,13,7,11
50679,12,8,-8,9
50680,7,-14,-3,-3
50681,-9,13,9,3
50682,-1,-4,-5,14
50683,12,-7,-4,-1
50684,-14,-1,15,0
50685,-2,15,9,2
50686,13,14,-7,-2
50687,12,-1,-9,-2
50688,13,-13,-2,-7
50689,-2,6,-6,9
50690,-11,-14,8,14
50691,10,9,-4,13
50692,-2,-2,-1,-10
50693,-10,-15,9,12
50694,9,9,5,0
50695,14,6,-4,-4
50696,14,-12,10,-12
50697,-11,9,-12,2
50698,-6,-12,4,-8
50699,-15,4,11,1
50700,-5,11,-1,15
50701,-4,3,-7,-4
50702,-5,-1,-12,-3
50703,-14,2,3,-7
50704,12,-11,-13,6
50705,14,-5,2,4
50706,-2,15,15,3
50707,-4,-12,15,13
50708,7,-9,-1,0
50709,-3,-2,4,8
50710,-13,-9,3,-4
50711,15,12,13,-11
50712,-3,9,13,0
50713,-4,-8,7,-11
50714,13,14,-8,-5
50715,4,7,11,9
50716,13,-10,-6,0
50717,6,6,-11,3
50718,5,13,-10,-1
50719,11,5,-13,-7
50720,-14,-3,-14,15
50721,14,-5,-5,11
50722,15,-4,4,5
50723,5,4,10,3
50724,-6,-5,-14,-4
50725,-6,11,6,-10
50726,-7,7,4,13
50727,2,-8,-5,-7
50728,-12,-2,8,10
50729,15,3,-12,14
50730,13,14,-7,11
50731,-4,6,11,-6
50732,3,9,-4,-1
50733,-5,0,8,-12
50734,4,6,15,15
50735,13,14,0,14
50736,9,4,6,10
50737,10,1,-2,-11
50738,-15,4,-1,8
50739,-12,15,-13,10
50740,-5,8,11,0
50741,2,-7,5,-9
50742,9,12,-14,-2
50743,-5,-2,-15,-8
50744,13,13,-9,0
50745,-2,12,-4,0
50746,-2,11,-15,-8
50747,-15,-3,1,5
50748,12,-11,-13,11
50749,-6,-4,-7,-5
50750,-3,5,-13,3
50751,-15,13,3,8
50752,-9,14,-11,0
50753,15,-13,-3,15
50754,3,-11,-2,-10
50755,-9,2,5,-9
50756,7,5,8,10
50757,13,-2,-6,4
50758,-11,13,-7,-13
50759,-2,-2,9,-2
50760,-15,-13,12,9
50761,12,5,-9,12
50762,0,12,1,-5
50763,-10,2,-10,-14
50764,3,4,9,-10
50765,-7,3,-12,2
50766,-8,7,-4,10
50767,-15,-6,-14,9
50768,-11,-10,-11,-1
50769,5,-6,4,-10
50770,15,-11,-5,4
50771,-4,3,-4,-2
50772,-7,-1,-13,-15
50773,-2,-13,7,-14
50774,12,7,-7,10
50775,11,5,7,-7
50776,12,-10,8,12
50777,10,-13,7,6
50778,13,3,-13,-14
50779,-10,-7,15,-6
50780,4,-15,-8,-13
50781,13,3,2,-4
50782,-1,-5,-11,-12
50783,-1,7,1,-12
50784,7,8,13,13
50785,11,-11,-9,-6
50786,-3,9,14,-5
50787,3,-6,-11,13
50788,6,-14,-13,13
50789,7,14,11,13
50790,4,0,-7,13
50791,10,0,15,10
50792,7,-5,14,0
50793,-1,11,1,0
50794,11,-2,-3,10
50795,-12,-12,-3,-13
50796,8,-15,-6,-12
50797,-7,-8,15,-3
50798,-6,11,8,-2
50799,15,-6,-6,-2
50800,9,1,6,-11
50801,5,-11,-13,-8
50802,-8,1,1,0
50803,8,8,3,8
50804,-12,12,-14,4
50805,-10,-10,9,4
50806,-5,6,1,-10
50807,9,-15,-8,4
50808,11,-5,-2,-7
50809,-6,-9,-7,-14
50810,14,-4,-7,-4
50811,-12,-2,0,0
50812,-4,-5,9,-1
50813,-3,-1,-11,11
50814,14,-12,13,9
50815,5,-7,-11,-9
50816,0,-14,10,13
50817,12,-10,6,-3
50818,0,-7,5,13
50819,-13,6,-4,-14
50820,1,8,11,-7
50821,15,3,10,-9
50822,-9,8,5,-2
50823,10,-12,-10,9
50824,14,-8,-4,15
50825,14,0,15,5
50826,2,3,-5,-1
50827,-2,10,4,-13
50828,12,3,15,11
50829,2,9,3,14
50830,1,-5,7,15
50831,-11,12,5,10
50832,3,-5,-13,10
50833,-11,5,11,-14
50834,9,-8,7,-8
50835,8,6,-6,-10
50836,-2,14,11,2
50837,-9,-2,1,-6
50838,1,5,15,3
50839,-9,15,-3,-12
50840,4,2,-6,-9
50841,-15,10,-5,-5
50842,-6,-2,-13,5
50843,14,-4,2,1
50844,-13,-11,-3,-4
50845,4,4,-9,2
50846,0,14,0,9
50847,11,-9,-1,-2
50848,9,9,0,-2
50849,14,-8,-3,3
50850,-4,-5,-4,-6
50851,6,-13,-3,1
50852,-8,-11,-15,-11
50853,-4,1,3,5
50854,5,9,-6,1
50855,-9,15,13,10
50856,-2,15,10,-4
50857,-1,-15,7,1
50858,7,10,-5,-7
50859,-8,-2,10,-8
50860,13,-10,13,-6
50861,9,2,8,3
50862,-8,2,10,4
50863,11,13,-4,14
50864,4,9,-8,6
50865,-4,9,6,-9
50866,-9,3,-10,-13
50867,-8,-4,6,-8
50868,-12,-10,7,2
50869,14,2,12,-4
50870,-8,8,2,13
50871,-14,-5,3,2
50872,8,7,-8,-10
50873,-4,-15,10,-15
50874,-1,0,-7,-2
50875,12,10,-3,3
50876,-7,-2,-13,-2
50877,-14,-14,-3,4
50878,11,14,13,-3
50879,-10,11,10,14
50880,15,5,15,-5
50881,-6,0,11,7
50882,13,8,4,-8
50883,-10,0,-14,-15
50884,-10,-4,-15,13
50885,-13,9,10,1
50886,3,-3,3,10
50887,-7,-2,-9,10
50888,-5,12,-12,3
50889,-2,5,-4,14
50890,7,6,1,-1
50891,-6,2,2,-7
50892,-11,-10,2,-7
50893,-7,-7,3,5
50894,13,12,11,7
50895,-11,8,10,-3
50896,-3,-14,6,-8
50897,12,0,11,-7
50898,-5,11,5,-8
50899,14,-7,-12,-9
50900,-8,-8,-1,-8
50901,7,13,-14,8
50902,10,12,5,-8
50903,-9,-12,11,14
50904,-4,6,2,1
50905,5,-14,12,-10
50906,-9,-12,-15,7
50907,-8,12,9,6
50908,-11,-2,8,-1
50909,2,14,-5,15
50910,-12,-7,14,-6
50911,12,5,2,1
50912,7,7,-7,0
50913,-13,15,8,13
50914,14,15,5,7
50915,-5,-7,0,13
50916,12,-10,8,-5
50917,-3,15,6,-10
50918,-12,-1,7,-15
50919,1,2,13,10
50920,-14,-10,7,-11
50921,0,-15,0,-9
50922,13,11,15,9
50923,-9,2,14,4
50924,15,-7,12,2
50925,-4,0,11,13
50926,4,7,-7,-7
50927,-7,12,-8,-12
50928,-13,-4,-9,-9
50929,11,-1,-9,15
50930,-13,1,-8,10
50931,15,-8,4,-8
50932,-8,3,10,-8
50933,-15,-10,3,-11
50934,2,14,9,-9
50935,15,7,1,7
50936,15,-9,-3,-14
50937,4,-15,14,-9
50938,-15,-5,-4,4
50939,-7,-8,1,-10
50940,-10,1,5,-2
50941,5,7,-11,12
50942,-7,-8,15,-13
50943,7,-3,15,-3
50944,-3,-3,4,4
50945,8,15,-1,-2
50946,5,3,3,-13
50947,7,7,8,5
50948,-6,-4,-1,-5
50949,-13,2,11,-5
50950,10,-12,12,5
50951,-2,-12,12,-6
50952,5,-14,11,12
50953,9,-3,-5,-10
50954,4,9,-5,11
50955,1,9,4,8
50956,12,5,14,14
50957,-14,-6,-8,-12
50958,-2,-5,-14,4
50959,11,0,8,2
50960,3,15,-5,13
50961,0,-15,8,15
50962,-4,2,-3,-11
50963,-13,6,-11,7
50964,-7,-10,5,1
50965,5,-9,-15,-6
50966,-14,-14,-5,7
50967,-12,9,9,-13
50968,-12,-10,-11,3
50969,3,-11,-12,7
50970,-7,13,11,2
50971,-2,-15,3,8
50972,8,-13,-13,-11
50973,-15,11,9,-3
50974,-3,-9,-1,11
50975,2,8,7,-3
50976,-13,-6,-15,6
50977,7,-13,-11,7
50978,4,4,-1,9
50979,11,-6,6,-3
50980,-2,-6,8,12
50981,2,15,-2,4
50982,-7,-1,1,-4
50983,5,12,-5,0
50984,-10,-15,-3,1
50985,1,12,-3,15
50986,4,0,-7,4
50987,8,11,-13,13
50988,-11,-5,7,12
50989,5,-4,-11,-1
50990,15,2,2,-13
50991,-10,-12,5,6
50992,0,7,-6,-2
50993,9,-9,6,8
50994,-5,13,-6,14
50995,-5,15,9,14
50996,12,0,-15,-7
50997,10,2,-9,2
50998,14,12,7,-4
50999,8,2,6,7
51000,-12,-5,9,14
51001,14,-15,-8,-5
51002,1,8,-1,-10
51003,8,2,7,-7
51004,11,-8,11,-2
51005,-7,-8,6,11
51006,4,-9,-1,-15
51007,-5,12,8,-14
51008,-14,0,6,1
51009,-12,-3,-14,5
51010,6,6,15,10
51011,4,15,0,-4
51012,-5,-6,0,-9
51013,1,8,-10,-15
51014,3,14,11,11
51015,-11,7,3,14
51016,-1,-14,1,14
51017,-4,-9,1,3
51018,6,7,-4,1
51019,11,-2,5,14
51020,3,7,-5,2
51021,0,-2,2,1
51022,-7,-9,-10,-3
51023,-4,8,8,-12
51024,10,13,2,5
51025,14,-10,-14,-12
51026,-10,-10,8,-10
51027,-2,-7,-6,4
51028,5,-4,-6,5
51029,-7,0,-13,-7
51030,-12,4,6,-13
51031,4,9,6,5
51032,-7,2,12,-1
51033,12,15,-6,0
51034,12,-9,14,-11
51035,-4,-5,11,-13
51036,-1,5,-4,-9
51037,9,6,-3,14
51038,2,2,13,10
51039,10,7,8,8
51040,11,13,-3,-10
51041,-13,15,-6,-12
51042,4,13,11,12
51043,13,-9,1,-2
51044,8,10,-14,1
51045,-9,5,-2,-7
51046,15,-9,-4,0
51047,12,-11,8,8
51048,-7,11,6,-4
51049,12,6,-8,1
51050,-15,10,-6,13
51051,2,15,6,14
51052,-6,-4,8,-15
51053,10,-5,5,10
51054,-4,-9,12,-6
51055,-6,9,-14,-10
51056,-14,0,4,-6
51057,-14,15,1,11
51058,13,-2,5,-14
51059,-15,-6,15,-2
51060,8,15,-8,4
51061,-1,-4,-14,10
51062,3,7,14,10
51063,-9,-11,0,0
51064,-2,7,4,8
51065,10,-1,-6,13
51066,-4,2,7,-12
51067,13,-13,11,4
51068,4,3,3,-15
51069,-11,-1,-1,-3
51070,1,-11,9,-5
51071,-6,5,-15,9
51072,15,-5,4,0
51073,7,13,-4,-7
51074,15,-7,-14,-4
51075,10,-13,-15,-7
51076,3,-12,-11,2
51077,-12,-13,5,0
51078,10,-10,-1,4
51079,-6,10,-3,2
51080,14,-2,-5,5
51081,-3,2,12,-10
51082,-6,2,-9,-10
51083,-3,-1,7,-5
51084,-4,6,8,1
51085,3,-4,-5,-15
51086,14,-4,2,12
51087,-1,2,14,14
51088,12,-3,6,12
51089,13,13,14,9
51090,11,-10,6,8
51091,-9,14,15,-6
51092,12,-12,-8,7
51093,-9,-12,-15,0
51094,-4,-11,7,-13
51095,-11,4,-4,8
51096,4,5,-15,2
51097,-11,7,-11,-3
51098,14,-9,1,-9
51099,4,6,-13,-11
51100,-12,-13,-8,8
51101,2,11,-4,-15
51102,11,1,3,12
51103,-15,3,-11,3
51104,-2,15,2,1
51105,3,-3,13,-15
51106,4,5,15,11
51107,0,-1,-4,2
51108,-4,-15,-15,-14
51109,-10,14,13,-7
51110,-1,-6,-4,2
51111,-14,11,4,10
51112,12,10,0,13
51113,-3,5,-12,5
51114,12,-12,-15,-12
51115,1,-6,-6,2
51116,-14,-7,11,1
51117,7,-1,7,-14
51118,4,-1,5,2
51119,6,0,-7,-4
51120,-1,11,8,-4
51121,1,-9,12,4
51122,8,1,5,-6
51123,-14,-10,2,9
51124,3,2,0,15
51125,4,12,1,-10
51126,2,-10,13,-2
51127,10,2,-13,13
51128,15,-7,-15,-15
51129,12,-3,-1,-15
51130,2,2,3,-12
51131,-3,7,-12,-2
51132,7,14,-13,-9
51133,6,-9,-5,-9
51134,15,4,-5,10
51135,-2,-3,-5,1
51136,5,-13,-7,-2
51137,-9,-9,-5,-15
51138,4,-1,6,7
51139,13,-14,-14,-5
51140,-11,15,-8,-7
51141,13,-13,-11,-2
51142,-15,-10,2,-12
51143,-4,-3,-6,-3
51144,5,-14,14,-3
51145,7,-1,2,-10
51146,-15,-15,3,-14
51147,1,-1,11,10
51148,11,-6,-10,12
51149,-6,3,-4,14
51150,-6,-6,-12,-15
51151,-13,-5,-10,4
51152,-7,12,13,13
51153,-10,-1,8,-15
51154,-12,-8,-12,0
51155,-5,-7,-6,-12
51156,3,-6,-4,-10
51157,0,4,8,10
51158,-2,-4,14,11
51159,8,15,12,-14
51160,-7,-5,3,-12
51161,-12,-9,-6,11
51162,10,12,6,-5
51163,12,-7,0,14
51164,-15,11,10,-11
51165,-2,-10,-7,-6
51166,-4,-14,9,-5
51167,12,13,0,-6
51168,-12,-7,3,-1
51169,14,15,4,-5
51170,-1,14,-4,-4
51171,-8,8,0,-14
51172,14,8,15,4
51173,1,-8,-5,13
51174,-11,-3,10,4
51175,5,2,-9,-5
51176,-12,13,-2,10
51177,-10,9,-1,15
51178,4,-3,-3,15
51179,-11,-2,-8,-2
51180,11,4,1,-3
51181,-8,-7,6,-12
51182,-15,-15,5,-9
51183,-14,-14,-8,-8
51184,11,2,6,-13
51185,-6,4,3,1
51186,8,-4,-4,4
51187,2,4,-15,13
51188,-6,7,-4,8
51189,-10,-4,-15,-10
51190,-5,11,6,13
51191,-8,6,-8,5
51192,5,0,3,10
51193,10,12,12,-15
51194,11,5,2,-6
51195,7,10,3,-7
51196,-8,-5,-14,9
51197,-5,-13,13,2
51198,-6,5,1,-7
51199,9,-6,-3,9
51200,2,-10,8,10
51201,-12,11,-1,-1
51202,-4,-15,9,15
51203,9,-10,4,-10
51204,-9,-14,7,0
51205,14,4,8,-1
51206,1,-6,-9,6
51207,3,14,-15,-14
51208,-3,-10,12,-14
51209,-12,12,12,9
51210,1,14,-15,-10
51211,6,-3,12,-14
51212,5,0,6,6
51213,-1,7,8,5
51214,8,-4,4,11
51215,-15,7,11,7
51216,7,15,-7,1
51217,15,3,15,9
51218,-1,13,-7,10
51219,-10,7,-3,0
51220,-11,-2,10,-11
51221,10,-3,14,-14
51222,15,-6,2,14
51223,4,14,-1,15
51224,15,5,-14,13
51225,-13,3,-13,9
51226,12,11,-13,10
51227,-7,13,-6,2
51228,4,-6,-13,12
51229,13,-1,7,-2
51230,-5,-13,6,13
51231,3,15,12,-5
51232,-10,2,1,-10
51233,6,-1,-2,-10
51234,-10,0,-10,-9
51235,3,-11,-15,-5
51236,10,13,1,0
51237,-10,-6,8,-7
51238,-12,9,15,5
51239,-14,-2,-12,-7
51240,-7,-9,15,15
51241,-13,-10,10,-15
51242,-1,-8,-1,-13
51243,-8,6,-7,9
51244,0,-1,-1,-1
51245,-6,-13,-9,-5
51246,-4,-1,5,4
51247,0,14,-9,5
51248,-13,13,12,-3
51249,11,15,-1,9
51250,15,-3,-9,-8
51251,-1,-8,2,4
51252,-1,8,1,10
51253,-12,3,-7,-6
51254,11,-9,7,1
51255,3,-7,12,-6
51256,-8,-8,-3,9
51257,10,6,11,-11
51258,11,12,4,15
51259,3,-6,-6,3
51260,-15,5,1,12
51261,-2,-11,9,-15
51262,-13,4,14,-5
51263,-10,11,-4,-12
51264,10,3,14,-7
51265,-2,-1,12,-15
51266,-9,0,-11,12
51267,-13,-15,-13,-1
51268,15,3,11,15
51269,4,1,-12,-7
51270,-13,-12,-2,-13
51271,3,9,-4,-14
51272,-11,2,2,0
51273,9,-8,-11,7
51274,4,-10,-15,1
51275,-8,-15,-4,10
51276,7,-8,-12,11
51277,0,-14,15,-7
51278,7,-3,13,-10
51279,-15,-4,4,0
51280,-9,14,1,7
51281,-1,-12,15,14
51282,14,-9,-7,14
51283,-12,13,-3,-10
51284,-11,8,1,-13
51285,3,-7,9,6
51286,-15,3,4,-14
51287,10,13,7,7
51288,-4,-3,0,4
51289,1,-6,-4,3
51290,0,-2,10,-1
51291,5,-15,2,1
51292,10,6,4,4
51293,-6,1,-7,0
51294,11,-14,-5,-2
51295,9,0,-1,-3
51296,9,5,13,13
51297,2,-10,-13,15
51298,-9,0,2,-5
51299,10,-10,12,7
51300,11,11,-13,4
51301,-4,0,-11,10
51302,-4,1,-10,-15
51303,8,-8,-6,8
51304,8,10,-15,8
51305,10,-2,-6,-15
51306,-9,15,12,-14
51307,-1,-8,-13,2
51308,-9,0,14,15
51309,-13,-15,2,14
51310,-12,-12,-15,2
51311,-2,-6,2,6
51312,-15,10,7,-10
51313,-5,-1,11,6
51314,-7,8,12,-14
51315,10,2,-5,-10
51316,-10,6,14,-13
51317,-3,14,8,9
51318,11,-2,9,-4
51319,5,5,-14,1
51320,-5,3,-5,5
51321,-4,-4,-8,12
51322,4,10,6,-8
51323,11,10,11,1
51324,1,15,-12,11
51325,9,-2,5,0
51326,-8,-2,7,-3
51327,11,12,5,-2
51328,0,-2,13,-10
51329,-6,-11,-5,11
51330,-5,10,-7,7
51331,8,-12,-12,10
51332,-2,5,5,-7
51333,-4,14,12,-6
51334,-15,10,-2,-14
51335,-10,12,5,12
51336,-3,2,15,9
51337,-1,-13,-5,9
51338,0,-10,0,4
51339,-11,-2,-8,-9
51340,-12,2,-11,-8
51341,-5,11,-3,10
51342,-3,10,-1,-15
51343,2,5,-12,13
51344,3,-1,-4,12
51345,-1,5,3,10
51346,-7,0,13,11
51347,6,2,-9,-3
51348,-13,-2,15,2
51349,-10,-8,-6,-7
